raw_alt,region,source,titre,prix,surface_m2,rooms,localisation,code_postal,ville
Maison à vendre 227 900 € 9 pièces 4 chambres 147 m² 7 350 m² de terrain Villereau 59530,Hauts-de-France,logicimmo,,227900.0,147.0,9.0,,,
"Appartement à vendre - neuf 139 000 € 1 pièce 27,7 m² Étage 3/7 dès le 31/03/2027 Centre-Victoire Dunkerque 59240",Hauts-de-France,logicimmo,,139000.0,27.7,1.0,,,
"Appartement à vendre 88 000 € 2 pièces 1 chambre 38,1 m² 2ème étage Faubourg de Hem Amiens 80000",Hauts-de-France,logicimmo,,88000.0,38.1,2.0,,,
"Appartement à vendre - neuf 179 900 € 2 pièces 45,4 m² 1er étage dès le 30/05/2027 Randon Berck 62600",Hauts-de-France,logicimmo,,179900.0,45.4,2.0,,,
"Appartement à vendre - neuf 212 700 € 3 pièces 61,8 m² Étage 1/3 dès le 01/04/2027 Orchies 59310",Hauts-de-France,logicimmo,,212700.0,61.8,3.0,,,
"Appartement à vendre - neuf 194 000 € 1 pièce 24,9 m² RDC Hachette Le Plessis-Robinson 92350",Hauts-de-France,logicimmo,,194000.0,24.9,1.0,,,
"Appartement à vendre - neuf 162 000 € 1 pièce 31,2 m² dès le 22/05/2028 Sainte Helene Saint-André-Lez-Lille 59350",Hauts-de-France,logicimmo,,162000.0,31.2,1.0,,,
MAISON D'EN FRANCE - HOUILLES,Hauts-de-France,logicimmo,,,,,,,
"Terrain avec maison neuve à vendre 290 000 € 6 pièces 3 chambres 98,3 m² 704 m² de terrain Fosseuse 60540",Hauts-de-France,logicimmo,,290000.0,98.3,6.0,,,
Appartement à vendre - neuf 154 000 € 2 pièces 1 chambre 46 m² Montignette Pont-Sainte-Maxence 60700,Hauts-de-France,logicimmo,,154000.0,46.0,2.0,,,
Appartement à vendre - neuf 249 000 € 3 pièces 63 m² Reservoirs Compiegne 60200,Hauts-de-France,logicimmo,,249000.0,63.0,3.0,,,
"Maison à vendre 274 500 € 4 pièces 3 chambres 81,7 m² 851 m² de terrain Chambly 60230",Hauts-de-France,logicimmo,,274500.0,81.7,4.0,,,
MAISONS SESAME,Hauts-de-France,logicimmo,,,,,,,
Terrain avec maison neuve à vendre 225 000 € 4 pièces 3 chambres 73 m² 400 m² de terrain Bregy 60440,Hauts-de-France,logicimmo,,225000.0,73.0,4.0,,,
Maison à vendre 350 000 € 6 pièces 4 chambres 105 m² 100 m² de terrain Flers Breucq-Start Babylone-Recueil Villeneuve-d'Ascq 59491,Hauts-de-France,logicimmo,,350000.0,105.0,6.0,,,
"Appartement à vendre - neuf 303 000 € 3 pièces 2 chambres 61,1 m² dès le 22/05/2028 Sainte Helene Saint-André-Lez-Lille 59350",Hauts-de-France,logicimmo,,303000.0,61.1,3.0,,,
Appartement à vendre - neuf 295 000 € 2 pièces 1 chambre 40 m² dès le 31/03/2027 Stella Cucq 62780,Hauts-de-France,logicimmo,,295000.0,40.0,2.0,,,
Appartement à vendre 315 000 € 4 pièces 2 chambres 93 m² Étage 4/4 Caulier Lille 59800,Hauts-de-France,logicimmo,,315000.0,93.0,4.0,,,
Appartement à vendre 388 500 € 3 pièces 2 chambres 71 m² 1er étage Centre Lille 59800,Hauts-de-France,logicimmo,,388500.0,71.0,3.0,,,
