address,lat,lon
"FEUQUIÈRES, 80210, France",50.0608885,1.6088164
"BUIRONFOSSE, 2620, France",49.9661363,3.8352698
"LONG, 2290, France",50.039326,1.9793659
"OIGNIES, 62590, France",50.4643,2.99387
"SAINTE, 60730, France",49.2894965,2.1971001
"MER, 62170, France",50.4638918,1.7631125
"DELINCOURT, 60240, France",49.2431348,1.8325792
"BOHAIN, 2110, France",49.9883475,3.442799
"BONDUES, 59910, France",50.7034622,3.0921638
"MONTATAIRE, 60160, France",49.2561311,2.4342569
"LEERS, 59115, France",50.6792095,3.2399516
"CAMIERS, 62176, France",50.5638,1.61441
"ECURIE, 62223, France",50.3301373,2.7708179
"COLONFAY, 2120, France",49.8588889,3.7133333
"MÉRIGNIES, 59710, France",50.506087,3.1103335
"MESNIL, 93150, France",48.9385489,2.4631476
"MÉLICOCQ, 60150, France",49.4939911,2.8585553
"CHAMANT, 60300, France",49.2192584,2.6128974
"LIBERCOURT, 62820, France",50.4802102,3.0105187
"TROISSEREUX, 60112, France",49.480521,2.0448234
"THOUROTTE, 60150, France",49.4790123,2.8832881
"NIEDERHAUSBERGEN, 67207, France",48.6231002,7.7008489
"BOULOGNE, 62200, France",50.7259985,1.6118771
"ANSTAING, 59152, France",50.6043089,3.1889645
"THUMERIES, 59239, France",50.4725,3.06638
"SUCY, 94370, France",48.7711323,2.5221284
"AVRECHY, 60130, France",49.4482873,2.4271147
"OMER, 62500, France",50.7515771,2.2534183
"SARTILLY, 50530, France",48.7510956,-1.4566857
"GRAVELINES, 59820, France",50.9870697,2.1273118
"D, 59930, France",,
"AMBLAINVILLE, 60110, France",49.2028875,2.1208837
"SORBAIS, 2580, France",49.908441,3.8945448
"DEULEMONT, 59890, France",50.7348047,2.9473109
"VAUCHELLES, 80132, France",50.1026071,1.8888341
"SANNOIS, 95110, France",48.9717267,2.2568296
"NEUILLY, 60530, France",49.2242307,2.2859429
"ÉMÉVILLE, 60123, France",49.2840249,3.0277961
"HÉNONVILLE, 60119, France",49.2081637,2.0522538
"MONTDIDIER, 80500, France",49.6460204,2.570196
"HARDIVILLERS, 60120, France",49.6164088,2.2220681
"QUESNEL, 80118, France",49.7774386,2.6247871
"SAINT, 94100, France",48.8455927,2.4249063
"CHAMPIGNY, 94500, France",48.8072194,2.509751
"VEXIN, 60240, France",49.2625682,1.8821405
"PAUL, 60650, France",49.4223707,1.9820583
"GUIGNECOURT, 60480, France",49.48154,2.12818
"VIARMES, 95270, France",49.125863,2.3693685
"GOMONT, 2120, France",49.4996236,4.1615123
"LAMORLAYE, 60260, France",49.1598,2.42438
"AMENUCOURT, 95510, France",49.1067288,1.6432239
"LAGNY, 60330, France",49.6138706,2.9174984
"LILLE, 59777, France",50.6365654,3.0635282
"CHESSY, 77700, France",48.8798792,2.7658363
"PLAILLY, 60128, France",49.1035319,2.5850308
"ÉRAGNY, 60590, France",49.3148067,1.7753003
"MULHOUSE, 68100, France",47.7421497,7.3431347
"GAMACHES, 80220, France",49.9855234,1.5557176
"BRETEUIL, 60120, France",49.6329792,2.2939649
"MESNIL, 60240, France",49.3018365,1.9876244
"RAINVILLERS, 60155, France",49.4048863,2.0073648
"LONGUEIL, 60150, France",49.886782,0.9559305
"SAINT, 78210, France",48.8002497,2.0660384
"LENS, 62300, France",50.4291723,2.8319805
"VERMAND, 2490, France",49.8767,3.15049
"CHAUMONT, 60240, France",49.2625682,1.8821405
"L, 94240, France",48.8533973,2.3487972
"GOUVIEUX, 60270, France",49.1902,2.41521
"LAMBERSART, 59130, France",50.6477924,3.0223644
"CAMPREMY, 60480, France",49.5713978,2.3105996
"LOZINGHEM, 62540, France",50.5179975,2.4995182
"CINQUEUX, 60940, France",49.3194308,2.5273788
"FLAMENGRIE, 2260, France",50.0047222,3.9211111
"FRANVILLERS, 80800, France",49.9664732,2.5078596
"SAINT, 92210, France",48.8567226,2.1988593
"LAMOTTE, 80150, France",50.188737,1.8273869
"DURY, 80480, France",49.8462392,2.2695287
"SAINT, 62360, France",50.6855506,1.626773
"CAOURS, 80132, France",50.129588,1.881779
"SACLAY, 91400, France",48.7305162,2.172576
"MIRVAUX, 80260, France",50.0027457,2.3949668
"CHAPELLE, 60520, France",,
"ÈME, 75116, France",48.8448633,2.3246122
"BUSSY, 77600, France",49.6248464,2.981811
"ÈME, 75017, France",48.8448633,2.3246122
"SAINT, 93400, France",48.9244726,2.3601325
"ARNOUVILLE, 95400, France",48.9892126,2.4202824
"ORLY, 94310, France",48.7431683,2.402391
"STAINS, 93240, France",48.9565669,2.3825154
"ISSY, 92130, France",48.8199521,2.259238
"ÈME, 75019, France",48.8650525,2.3975667
"SARTROUVILLE, 78500, France",48.9409016,2.1585037
"VILLENEUVE, 92390, France",45.0835468,-0.6280356
"CLAMART, 92140, France",48.8003835,2.2630238
"VÉSINET, 78110, France",48.894254,2.1347291
"VANVES, 92170, France",48.8212037,2.289259
"SEMBLANÇAY, 37360, France",47.4989788,0.5783512
"ÈME, 75011, France",48.8650525,2.3975667
"ÈME, 75015, France",48.8448633,2.3246122
"BEZONS, 95870, France",48.9250016,2.2105491
"COLOMBES, 92700, France",48.9227298,2.2543631
"CHOISY, 94600, France",48.7630238,2.4093664
"BRIE, 94370, France",49.6013889,3.4833333
"LIMEIL, 94450, France",48.7489857,2.4809129
"CAUX, 76560, France",49.752549,0.8799089
"JOUY, 95280, France",48.1671916,2.975115
"PONT, 94340, France",47.1777278,5.3147014
"MARNE, 94430, France",48.961264,4.3122436
"IVRY, 94200, France",48.8122302,2.3872525
"ÈME, 75005, France",48.8448633,2.3246122
"CHAMBOURCY, 78240, France",48.9058999,2.0396454
"CONFLANS, 78700, France",48.9938791,2.0949768
"OUEN, 93400, France",48.911729,2.334267
"PLAISIR, 78370, France",48.817399,1.9476363
"NOISY, 93160, France",48.8492238,2.5524906
"CHARTRES, 28000, France",48.4438601,1.4881434
"PANTIN, 93500, France",48.8965023,2.4019804
"ROSNY, 93110, France",48.8716626,2.4875193
"VILLACOUBLAY, 78140, France",48.7809496,2.1900052
"VESINET, 78110, France",48.894254,2.1347291
"YVETTE, 91190, France",48.7018823,2.134529
"MESNIL, 78600, France",48.9396822,2.128842
"SAINT, 51530, France",49.2586063,3.9941791
"CHÂTENAY, 92290, France",45.3211,5.22884
"RUEIL, 92500, France",48.87778,2.1802832
"CHEVILLY, 94550, France",48.0260305,1.8739814
"ASNIÈRES, 92600, France",48.9105948,2.2890454
"MONTROUGE, 92120, France",48.8188544,2.3194375
"TREVISE, 94420, France",48.8091528,2.5732616
"GENNEVILLIERS, 92230, France",48.9254221,2.2940122
"OBERSAASHEIM, 68600, France",47.9907928,7.5563788
"SEINE, 92600, France",48.9105948,2.2890454
"DAMPMART, 77400, France",48.8852184,2.7355279
"BRY, 94360, France",50.3165406,3.6826292
"SAINT, 78100, France",48.8979045,2.0956035
"CLICHY, 92110, France",48.9026,2.30551
"ANTONY, 92160, France",48.753613,2.2958034
"COURBEVOIE, 92400, France",48.8953328,2.2561602
"ÈME, 75012, France",48.8650525,2.3975667
"ÈME, 75010, France",48.8650525,2.3975667
"ALFORTVILLE, 94140, France",48.8051624,2.4197113
"CAEN, 14000, France",49.1813403,-0.3635615
"ÈME, 75016, France",48.8448633,2.3246122
"VAIRES, 77360, France",48.8733776,2.6396951
"GOUVERNES, 77400, France",48.8598385,2.6927897
"HOENHEIM, 67800, France",48.6212867,7.7554925
"THORIGNY, 77400, France",48.8841856,2.7115737
"NEUILLY, 92200, France",48.884683,2.2695658
"BLANC, 93150, France",,
"MANTES, 78200, France",48.9891971,1.7140683
"GAGNY, 93220, France",48.8853743,2.5358323
"SAINT, 78860, France",48.8476304,2.0287635
"DOMONT, 95330, France",49.0285536,2.3278097
"CRÉTEIL, 94000, France",48.7771486,2.4530731
"ÈME, 75009, France",48.8448633,2.3246122
"ÈME, 75018, France",48.8448633,2.3246122
"ÈME, 75020, France",48.8650525,2.3975667
"NANTERRE, 92000, France",48.8924273,2.2071267
"ANDRESY, 78570, France",48.9821445,2.0610573
"POISSY, 78300, France",48.9274192,2.0426301
"VILLEJUIF, 94800, France",48.7921098,2.3633048
"GRAND, 93160, France",48.386104,5.4866253
"BOBIGNY, 93000, France",48.906387,2.4452231
"ÈME, 75013, France",48.8448633,2.3246122
"BELBEUF, 76240, France",49.3880756,1.1428248
"SÈVRES, 92370, France",48.8247407,2.2127083
"MAURECOURT, 78780, France",48.9975159,2.0625234
"AUBERVILLIERS, 93300, France",48.9146078,2.3821895
"ÈME, 75002, France",48.8448633,2.3246122
"MALAKOFF, 92240, France",48.8211559,2.3019814
"MONTFORT, 78490, France",43.3684225,-0.8465779
"VIERZON, 18100, France",47.2217489,2.0691421
"SÈVRES, 92310, France",48.8247407,2.2127083
"VILLEMOMBLE, 93250, France",48.881886,2.5076181
"SAINT, 94410, France",48.8455927,2.4249063
"GONESSE, 95500, France",48.9863555,2.4500537
"PALAISEAU, 91120, France",48.7144587,2.2453842
"STEINBRUNN, 68440, France",47.6626861,7.3479226
"CHAVILLE, 92370, France",48.8086297,2.1882897
"MOULINEAUX, 92130, France",49.3418677,0.9647213
"ER, 75001, France",,
"SAINT, 93200, France",48.9455243,2.3625253
"DRAVEIL, 91210, France",48.6851514,2.4083576
"PUTEAUX, 92800, France",48.8841522,2.2368863
"CERGY, 95800, France",49.0527528,2.0388736
"VERJUX, 71590, France",46.8784801,4.9644317
"GARENNE, 92250, France",,
"VITRY, 94400, France",48.7876,2.39164
"ÈME, 75008, France",48.8448633,2.3246122
"ARPAJON, 91290, France",48.5902899,2.2477303
"BUCQUOY, 62116, France",50.140295,2.7094849
"CELLE, 78170, France",48.8478753,2.136145
"SEINE, 95530, France",48.9740461,2.178345
"FERRIERE, 77330, France",48.7620904,2.6719421
"ÈME, 75006, France",48.8448633,2.3246122
"LEVALLOIS, 92300, France",48.892956,2.2881683
"ÈME, 75014, France",48.8448633,2.3246122
"ALBERT, 80300, France",50.0018022,2.6509223
"JOUY, 78350, France",48.1671916,2.975115
"VAUCRESSON, 92420, France",48.8392676,2.1575981
"VINCENNES, 94300, France",48.8474508,2.4396714
"CHAPELLE, 77760, France",,
"BOIS, 78390, France",45.4888007,-0.5994643
"MASSY, 91300, France",48.730158,2.2766735
"SARRALBE, 57430, France",48.9998765,7.0299169
"LONGJUMEAU, 91160, France",48.6943793,2.2953297
"SCHILTIGHEIM, 67300, France",48.6047148,7.7484488
"ROSNY, 78710, France",49.001733,1.6280317
"ÈME, 75004, France",48.8448633,2.3246122
"PERREUX, 94170, France",47.85697,3.1641014
"AMÉCOURT, 27140, France",49.378555,1.7318822
"ANTONY, 92202, France",48.753613,2.2958034
"MONTIGNY, 95370, France",49.4592915,0.9999358
"ARGENTEUIL, 95100, France",48.9479069,2.2481797
"DRANCY, 93700, France",48.9229803,2.4455201
"MALABRY, 92290, France",48.7715794,2.2516485
"VOISINS, 78960, France",48.7586786,2.0509674
"ROUEN, 76000, France",49.4452254,1.0913423
"MONTÉVRAIN, 77144, France",48.8741286,2.748344
"CACHAN, 94230, France",48.7945413,2.3340758
"LIPSHEIM, 67640, France",48.490003,7.6644772
"SERRIS, 77700, France",48.8567,2.7855615
"PUISEUX, 95380, France",49.5924913,4.5417488
"GARCHES, 92380, France",48.8437486,2.1853699
"CHENÔVE, 21300, France",47.2932,5.00308
"GENTILLY, 94250, France",48.8153656,2.3483549
"TREMBLAY, 93290, France",48.9802035,2.5589558
"CHAMPAGNE, 95660, France",45.831944,-0.906667
"MEAUX, 77100, France",48.9582708,2.8773541
"AVERDON, 41330, France",47.6844003,1.2943824
"BAGNEUX, 92220, France",48.795056,2.3027323
"NEUILLY, 93360, France",48.9321383,1.4209125
"MARLY, 78160, France",50.3500747,3.5435909
"TRAPPES, 78190, France",48.7760957,1.9988356
