region,source,raw_alt,titre,localisation,prix_extracted,surface_m2_extracted,rooms_extracted,code_postal_extracted,ville_extracted_cleaned,commune_from_cp,ville_finale,marche_neuf_ancien,price_m2,nom_commune,code_insee
Hauts-de-France,logicimmo,"Appartement à vendre - neuf 228 000 € 2 pièces 1 chambre 49,9 m² dès le 01/07/2026 Gare-Agora Berck sur Mer 62600",,,228000.0,49.9,2.0,62600,MER,BERCK,BERCK,neuf,4569.138276553106,BERCK,62108
Hauts-de-France,logicimmo,"Appartement à vendre - neuf 389 000 € 4 pièces 3 chambres 79,8 m² dès le 01/07/2026 Gare-Agora Berck sur Mer 62600",,,389000.0,79.8,4.0,62600,MER,BERCK,BERCK,neuf,4874.68671679198,BERCK,62108
Hauts-de-France,logicimmo,"Appartement à vendre - neuf 399 000 € 4 pièces 3 chambres 91,5 m² dès le 31/12/2025 Saint Honoré-Jeanne d'Arc Amiens 80000",,,399000.0,91.5,4.0,80000,AMIENS,AMIENS,AMIENS,neuf,4360.6557377049185,AMIENS,80021
Hauts-de-France,logicimmo,"Appartement à vendre - neuf 180 300 € 2 pièces 43,8 m² Étage 3/3 dès le 01/04/2027 Orchies 59310",,,180300.0,43.8,2.0,59310,ORCHIES,AIX EN PEVELE,AIX EN PEVELE,neuf,4116.438356164384,AIX EN PEVELE,59004
Hauts-de-France,logicimmo,Appartement à vendre - neuf 277 000 € 3 pièces 2 chambres 63 m² RDC/2 Andlau 67140,,,277000.0,63.0,3.0,67140,ANDLAU,ANDLAU,ANDLAU,neuf,4396.825396825397,ANDLAU,67010
Hauts-de-France,logicimmo,"Appartement à vendre - neuf 239 000 € 3 pièces 2 chambres 62,2 m² dès le 01/10/2026 Gare Bethune 62400",,,239000.0,62.2,3.0,62400,BETHUNE,BETHUNE,BETHUNE,neuf,3842.4437299035367,BETHUNE,62119
Hauts-de-France,logicimmo,"Appartement à vendre - neuf 212 000 € 2 pièces 1 chambre 46,4 m² dès le 22/05/2028 Sainte Helene Saint-André-Lez-Lille 59350",,,212000.0,46.4,2.0,59350,SAINT,ST ANDRE LEZ LILLE,ST ANDRE LEZ LILLE,neuf,4568.9655172413795,ST ANDRE LEZ LILLE,59527
Hauts-de-France,logicimmo,"Appartement à vendre - neuf 318 000 € 3 pièces 2 chambres 67,3 m² dès le 01/07/2026 Gare-Agora Berck sur Mer 62600",,,318000.0,67.3,3.0,62600,MER,BERCK,BERCK,neuf,4725.111441307578,BERCK,62108
Hauts-de-France,logicimmo,Maison à vendre 370 000 € 6 pièces 3 chambres 345 m² 403 m² de terrain Beaumont Hem 59510,,,370000.0,345.0,6.0,59510,HEM,FOREST SUR MARQUE,FOREST SUR MARQUE,ancien,1072.463768115942,FOREST SUR MARQUE,59247
Hauts-de-France,logicimmo,"Appartement à vendre - neuf 340 000 € 159,6 m² dès le 01/10/2026 Gare Bethune 62400",,,340000.0,159.6,,62400,BETHUNE,BETHUNE,BETHUNE,neuf,2130.325814536341,BETHUNE,62119
Hauts-de-France,logicimmo,"Appartement à vendre - neuf 301 900 € 3 pièces 68,7 m² Étage 3/4 dès le 01/10/2027 Foch Pasteur-Ecarts Wambrechies 59118",,,301900.0,68.7,3.0,59118,WAMBRECHIES,WAMBRECHIES,WAMBRECHIES,neuf,4394.468704512373,WAMBRECHIES,59636
Hauts-de-France,logicimmo,"Appartement à vendre - neuf 204 000 € 2 pièces 45,9 m² Étage 1/4 dès le 01/10/2027 Foch Pasteur-Ecarts Wambrechies 59118",,,204000.0,45.9,2.0,59118,WAMBRECHIES,WAMBRECHIES,WAMBRECHIES,neuf,4444.444444444444,WAMBRECHIES,59636
Hauts-de-France,logicimmo,Maison à vendre 227 900 € 9 pièces 4 chambres 147 m² 7 350 m² de terrain Villereau 59530,,,227900.0,147.0,9.0,59530,VILLEREAU,BEAUDIGNIES,BEAUDIGNIES,ancien,1550.3401360544217,BEAUDIGNIES,59057
Hauts-de-France,logicimmo,"Appartement à vendre - neuf 139 000 € 1 pièce 27,7 m² Étage 3/7 dès le 31/03/2027 Centre-Victoire Dunkerque 59240",,,139000.0,27.7,1.0,59240,DUNKERQUE,DUNKERQUE,DUNKERQUE,neuf,5018.050541516245,DUNKERQUE,59183
Hauts-de-France,logicimmo,"Appartement à vendre 88 000 € 2 pièces 1 chambre 38,1 m² 2ème étage Faubourg de Hem Amiens 80000",,,88000.0,38.1,2.0,80000,AMIENS,AMIENS,AMIENS,ancien,2309.711286089239,AMIENS,80021
Hauts-de-France,logicimmo,"Appartement à vendre - neuf 179 900 € 2 pièces 45,4 m² 1er étage dès le 30/05/2027 Randon Berck 62600",,,179900.0,45.4,2.0,62600,BERCK,BERCK,BERCK,neuf,3962.555066079295,BERCK,62108
Hauts-de-France,logicimmo,"Appartement à vendre - neuf 212 700 € 3 pièces 61,8 m² Étage 1/3 dès le 01/04/2027 Orchies 59310",,,212700.0,61.8,3.0,59310,ORCHIES,AIX EN PEVELE,AIX EN PEVELE,neuf,3441.747572815534,AIX EN PEVELE,59004
Hauts-de-France,logicimmo,"Appartement à vendre - neuf 194 000 € 1 pièce 24,9 m² RDC Hachette Le Plessis-Robinson 92350",,,194000.0,24.9,1.0,92350,PLESSIS,LE PLESSIS ROBINSON,LE PLESSIS ROBINSON,neuf,7791.164658634539,LE PLESSIS ROBINSON,92060
